SN,N. of spectra
1986L,28
1991al,8
1992ad,0
1992af,5
1992am,2
1992ba,8
1993A,2
1993K,10
1993S,4
1999br,8
1999ca,4
1999cr,5
1999eg,2
1999em,7
0210,6
2002ew,7
2002fa,6
2002gd,12
2002gw,11
2002hj,7
2002hx,9
2002ig,5
2003B,9
2003E,8
2003T,6
2003bl,8
2003bn,12
2003ci,5
2003cn,5
2003cx,6
2003dq,3
2003ef,6
2003eg,5
2003ej,3
2003fb,4
2003gd,3
2003hd,9
2003hg,5
2003hk,4
2003hl,6
2003hn,9
2003ho,5
2003ib,5
2003ip,4
2003iq,5
2004dy,3
2004ej,9
2004er,10
2004fb,4
2004fc,10
2004fx,10
2005J,11
2005K,2
2005Z,9
2005af,9
2005an,7
2005dk,5
2005dn,6
2005dt,1
2005dw,3
2005dx,1
2005dz,5
2005es,1
2005gk,0
2005hd,0
2005lw,11
2005me,1
2006Y,10
2006ai,7
2006bc,3
2006be,4
2006bl,3
2006ee,6
2006it,4
2006iw,4
2006ms,3
2006qr,7
2007P,4
2007U,7
2007W,7
2007X,10
2007aa,9
2007ab,5
2007av,4
2007hm,6
2007il,9
2007it,8
2007ld,6
2007oc,9
2007od,7
2007sq,4
2008F,2
2008K,9
2008M,10
2008W,8
2008ag,14
2008aw,10
2008bh,6
2008bk,22
2008bm,4
2008bp,4
2008br,4
2008bu,5
2008ga,3
2008gi,5
2008gr,3
2008hg,4
2008ho,2
2008if,17
2008il,3
2008in,10
